Lead Source,Total Time Spent on Website,Total Visits,Last Activity,Converted
Referral,2932,12,Other,1
Social Media,128,16,Page Visited,1
Social Media,4351,16,Other,0
Organic Search,4326,12,Page Visited,0
Organic Search,3568,2,Other,1
Google,2402,14,Page Visited,1
Google,1647,11,Form Submitted,1
Social Media,3556,9,Page Visited,1
Direct Traffic,3891,7,Form Submitted,1
Referral,2193,12,Form Submitted,0
Google,2047,17,Other,0
Google,3104,9,Form Submitted,0
Direct Traffic,4355,6,Email Opened,0
Direct Traffic,2134,12,Page Visited,0
Organic Search,842,10,Other,1
Referral,1971,9,Form Submitted,0
Direct Traffic,4360,12,Page Visited,1
Google,3903,1,Page Visited,0
Google,3613,2,Email Opened,0
Social Media,391,19,Page Visited,1
Direct Traffic,2279,1,Other,0
Organic Search,900,16,Other,0
Referral,4683,16,Form Submitted,0
Organic Search,2494,18,Form Submitted,1
Google,1152,18,Other,1
Organic Search,1294,13,Page Visited,1
Google,465,12,Page Visited,1
Google,2175,9,Email Opened,1
Google,3245,5,Form Submitted,0
Google,487,9,Page Visited,0
Google,2938,13,Page Visited,0
Social Media,2626,16,Form Submitted,0
Organic Search,949,10,Other,1
Social Media,4501,16,Page Visited,0
Social Media,1049,14,Email Opened,0
Direct Traffic,4075,2,Page Visited,0
Direct Traffic,4459,19,Page Visited,0
Direct Traffic,1390,11,Email Opened,0
Referral,1083,19,Other,0
Direct Traffic,4646,11,Email Opened,1
Organic Search,1658,14,Email Opened,0
Social Media,4387,15,Form Submitted,1
Organic Search,1817,7,Page Visited,0
Direct Traffic,190,15,Other,0
Referral,460,8,Page Visited,0
Referral,2521,4,Other,0
Social Media,3476,18,Email Opened,0
Organic Search,2705,14,Form Submitted,0
Google,4366,18,Email Opened,0
Organic Search,1157,4,Page Visited,1
Direct Traffic,4266,2,Form Submitted,0
Google,27,6,Form Submitted,0
Referral,4231,11,Page Visited,0
Social Media,2972,1,Other,0
Social Media,3024,15,Form Submitted,0
Referral,4983,12,Other,1
Direct Traffic,1264,18,Other,0
Referral,855,5,Other,1
Direct Traffic,4025,11,Form Submitted,0
Google,1251,19,Email Opened,0
Referral,4604,1,Form Submitted,1
Direct Traffic,3870,17,Email Opened,0
Google,1326,8,Form Submitted,1
Referral,1025,16,Email Opened,0
Social Media,361,11,Email Opened,0
Referral,1218,19,Form Submitted,0
Organic Search,605,11,Other,1
Referral,1670,15,Other,0
Organic Search,4811,8,Email Opened,0
Google,2297,14,Page Visited,1
Referral,2194,1,Page Visited,0
Google,4443,10,Form Submitted,0
Google,1277,7,Form Submitted,1
Direct Traffic,398,18,Form Submitted,0
Google,2172,12,Page Visited,0
Google,2810,2,Other,1
Referral,2652,18,Form Submitted,0
Referral,2939,7,Form Submitted,0
Social Media,821,12,Other,0
Direct Traffic,4997,14,Email Opened,1
Google,944,10,Form Submitted,0
Direct Traffic,3478,9,Page Visited,0
Organic Search,2779,15,Page Visited,0
Google,4429,10,Form Submitted,0
Direct Traffic,4450,19,Page Visited,0
Social Media,1196,19,Other,0
Social Media,1212,12,Email Opened,0
Google,823,12,Email Opened,0
Organic Search,1896,9,Form Submitted,0
Social Media,4263,4,Form Submitted,0
Social Media,2415,1,Email Opened,0
Organic Search,535,16,Email Opened,0
Direct Traffic,3010,1,Form Submitted,0
Social Media,2627,13,Page Visited,0
Referral,3777,3,Form Submitted,0
Social Media,949,12,Other,0
Direct Traffic,3508,9,Form Submitted,1
Direct Traffic,4302,4,Form Submitted,0
Google,543,2,Form Submitted,0
Referral,3900,9,Form Submitted,1
Direct Traffic,3753,13,Form Submitted,0
Organic Search,4224,14,Form Submitted,1
Referral,2082,3,Page Visited,1
Referral,2866,18,Form Submitted,0
Organic Search,2246,9,Email Opened,1
Social Media,1836,15,Form Submitted,0
Organic Search,76,10,Page Visited,0
Organic Search,368,17,Other,0
Social Media,4621,13,Email Opened,0
Social Media,348,1,Form Submitted,0
Social Media,4601,11,Form Submitted,0
Social Media,4738,5,Email Opened,1
Social Media,4333,9,Form Submitted,0
Organic Search,1455,7,Page Visited,0
Google,2185,7,Form Submitted,0
Google,3811,2,Other,0
Direct Traffic,3272,19,Page Visited,0
Google,3682,18,Form Submitted,1
Google,1846,10,Other,0
Organic Search,1854,5,Email Opened,0
Social Media,2985,16,Page Visited,0
Social Media,4450,5,Form Submitted,0
Organic Search,2625,15,Form Submitted,0
Google,2894,16,Email Opened,0
Organic Search,558,4,Email Opened,0
Direct Traffic,2896,14,Page Visited,0
Social Media,1917,17,Page Visited,1
Referral,1254,17,Page Visited,1
Direct Traffic,1681,16,Form Submitted,0
Direct Traffic,1814,9,Form Submitted,1
Organic Search,662,2,Page Visited,1
Google,4116,11,Form Submitted,0
Social Media,3325,15,Email Opened,0
Referral,1241,3,Other,0
Direct Traffic,3143,16,Form Submitted,0
Referral,3037,19,Page Visited,0
Google,161,6,Form Submitted,0
Google,4225,14,Email Opened,0
Referral,1950,5,Page Visited,0
Social Media,4320,5,Other,0
Google,1781,6,Page Visited,0
Referral,4675,18,Page Visited,0
Direct Traffic,1477,18,Page Visited,0
Referral,3030,19,Form Submitted,0
Referral,3986,2,Other,1
Organic Search,106,17,Email Opened,0
Google,2668,1,Form Submitted,0
Social Media,4935,9,Other,0
Social Media,1164,13,Other,0
Organic Search,1157,4,Form Submitted,0
Social Media,2246,5,Page Visited,0
Referral,666,18,Other,0
Organic Search,2126,10,Email Opened,0
Direct Traffic,2941,4,Form Submitted,0
Google,511,13,Other,0
Google,249,13,Email Opened,1
Google,888,17,Email Opened,0
Referral,1023,8,Email Opened,0
Direct Traffic,4694,4,Email Opened,1
Organic Search,4848,3,Form Submitted,1
Organic Search,599,11,Email Opened,0
Google,3022,12,Form Submitted,0
Direct Traffic,2530,9,Email Opened,0
Direct Traffic,2883,15,Email Opened,0
Direct Traffic,2064,13,Form Submitted,0
Social Media,1758,5,Page Visited,1
Social Media,3569,5,Other,0
Google,1242,19,Other,1
Direct Traffic,4329,11,Form Submitted,0
Direct Traffic,2295,9,Email Opened,1
Organic Search,1925,3,Form Submitted,0
Organic Search,2062,18,Email Opened,0
Google,3395,13,Form Submitted,1
Direct Traffic,440,12,Other,0
Google,2743,9,Form Submitted,0
Organic Search,6,10,Other,0
Organic Search,1586,13,Other,0
Social Media,825,13,Other,0
Google,3824,9,Form Submitted,0
Google,1268,10,Page Visited,1
Direct Traffic,3436,19,Form Submitted,0
Direct Traffic,3438,6,Form Submitted,0
Social Media,1310,7,Page Visited,0
Referral,4033,15,Page Visited,1
Referral,1627,19,Other,0
Referral,1036,14,Email Opened,0
Google,477,16,Email Opened,0
Google,2678,14,Other,0
Organic Search,714,2,Form Submitted,0
Google,1676,9,Email Opened,0
Google,2162,3,Form Submitted,0
Google,508,6,Page Visited,0
Social Media,381,5,Page Visited,1
Google,1180,14,Other,0
Direct Traffic,1845,15,Form Submitted,0
Direct Traffic,4370,18,Other,0
Organic Search,1718,17,Email Opened,0
Social Media,1100,9,Email Opened,0
Direct Traffic,1860,19,Email Opened,0
Social Media,2091,9,Form Submitted,0
Social Media,717,16,Other,0
Organic Search,317,6,Other,0
Social Media,4629,8,Email Opened,0
Google,1776,3,Other,0
Social Media,2284,5,Page Visited,0
Organic Search,1244,7,Page Visited,1
Organic Search,1333,1,Page Visited,0
Organic Search,3669,4,Page Visited,0
Direct Traffic,1200,16,Other,1
Google,1794,14,Page Visited,1
Direct Traffic,2701,1,Page Visited,0
Referral,1454,4,Page Visited,0
Google,1933,10,Page Visited,1
Social Media,746,11,Page Visited,1
Organic Search,840,7,Form Submitted,1
Referral,2495,4,Form Submitted,0
Google,1088,1,Page Visited,0
Direct Traffic,792,1,Page Visited,0
Organic Search,1267,17,Other,1
Direct Traffic,1550,10,Page Visited,1
Google,2690,5,Email Opened,1
Google,292,7,Form Submitted,0
Referral,4022,8,Page Visited,0
Social Media,1404,2,Form Submitted,0
Direct Traffic,1648,9,Page Visited,1
Referral,2816,4,Email Opened,0
Organic Search,3910,12,Page Visited,1
Social Media,2918,11,Form Submitted,0
Referral,1397,5,Form Submitted,0
Direct Traffic,1693,12,Form Submitted,1
Google,1037,4,Other,0
Organic Search,3852,13,Form Submitted,0
Direct Traffic,1562,1,Page Visited,1
Social Media,1112,18,Email Opened,0
Social Media,1291,4,Email Opened,1
Google,1161,4,Page Visited,0
Google,1029,8,Other,1
Organic Search,4337,6,Page Visited,0
Organic Search,4257,4,Form Submitted,0
Google,2739,4,Other,0
Google,978,11,Page Visited,0
Social Media,517,9,Other,0
Google,4993,14,Email Opened,1
Referral,782,4,Page Visited,1
Direct Traffic,2831,13,Page Visited,1
Google,4180,6,Email Opened,0
Organic Search,137,13,Other,0
Referral,753,3,Email Opened,0
Organic Search,2953,7,Other,1
Referral,4808,1,Page Visited,0
Google,2455,11,Other,0
Direct Traffic,2834,2,Other,0
Organic Search,579,5,Form Submitted,0
Referral,3255,14,Form Submitted,1
Social Media,3266,13,Form Submitted,0
Google,4649,16,Email Opened,1
Direct Traffic,395,15,Email Opened,0
Google,1937,3,Form Submitted,1
Social Media,4905,6,Page Visited,0
Direct Traffic,2589,9,Page Visited,0
Social Media,3034,3,Page Visited,0
Google,169,13,Email Opened,0
Referral,2337,13,Other,0
Google,3239,7,Email Opened,0
Google,3415,5,Form Submitted,0
Google,3568,8,Other,0
Organic Search,3216,8,Page Visited,0
Social Media,3484,7,Email Opened,0
Social Media,4835,19,Email Opened,1
Social Media,1841,7,Form Submitted,1
Organic Search,3760,4,Page Visited,0
Referral,4552,10,Email Opened,0
Google,3026,13,Email Opened,0
Referral,3965,4,Other,0
Organic Search,1601,19,Email Opened,1
Social Media,1146,10,Other,0
Google,4326,7,Email Opened,0
Direct Traffic,2684,5,Page Visited,0
Direct Traffic,111,3,Form Submitted,1
Referral,592,2,Page Visited,0
Social Media,2439,11,Form Submitted,1
Direct Traffic,1238,10,Email Opened,1
Referral,2794,13,Page Visited,0
Organic Search,2414,7,Other,0
Referral,2129,10,Form Submitted,0
Referral,2853,4,Form Submitted,0
Referral,2869,16,Email Opened,0
Google,3598,6,Form Submitted,0
Referral,3803,9,Form Submitted,0
Referral,1526,13,Form Submitted,0
Google,1969,7,Email Opened,1
Google,951,18,Page Visited,1
Organic Search,1502,14,Email Opened,0
Social Media,4467,5,Other,0
Direct Traffic,3336,13,Form Submitted,0
Direct Traffic,109,8,Form Submitted,1
Referral,3986,15,Page Visited,1
Organic Search,2354,19,Form Submitted,0
Referral,225,9,Page Visited,0
Direct Traffic,3011,6,Form Submitted,0
Google,4126,14,Form Submitted,0
Social Media,613,10,Email Opened,0
Organic Search,98,9,Email Opened,0
Google,810,17,Other,1
Social Media,3337,13,Page Visited,0
Organic Search,2699,17,Other,1
Organic Search,4909,19,Email Opened,0
Direct Traffic,1019,13,Page Visited,0
Google,3025,9,Email Opened,1
Organic Search,3528,1,Page Visited,1
Organic Search,3886,1,Form Submitted,1
Social Media,2979,5,Other,1
Direct Traffic,3340,8,Other,1
Referral,796,18,Page Visited,0
Direct Traffic,1957,4,Other,1
Referral,3066,1,Email Opened,1
Google,3020,15,Other,0
Google,2680,4,Page Visited,0
Organic Search,4441,9,Other,1
Google,4819,10,Other,1
Organic Search,2948,15,Email Opened,0
Direct Traffic,3731,3,Form Submitted,1
Google,1101,2,Email Opened,1
Direct Traffic,1037,5,Other,0
Direct Traffic,4231,1,Other,1
Google,791,11,Form Submitted,0
Direct Traffic,4174,12,Form Submitted,0
Google,1778,3,Email Opened,0
Google,4800,16,Form Submitted,1
Google,981,14,Email Opened,0
Referral,1265,12,Page Visited,1
Direct Traffic,743,16,Other,0
Social Media,2431,8,Form Submitted,1
Google,374,17,Page Visited,1
Direct Traffic,1753,17,Page Visited,1
Organic Search,3897,7,Email Opened,1
Google,2536,15,Email Opened,1
Google,1991,9,Form Submitted,0
Social Media,2928,4,Email Opened,0
Referral,3446,8,Page Visited,0
Referral,591,10,Page Visited,1
Google,4628,15,Other,0
Direct Traffic,2569,18,Page Visited,0
Organic Search,2872,14,Form Submitted,1
Organic Search,1176,5,Other,1
Direct Traffic,1335,9,Email Opened,1
Google,4693,13,Other,0
Organic Search,112,19,Page Visited,0
Referral,3772,11,Form Submitted,0
Direct Traffic,1845,12,Email Opened,0
Social Media,1987,3,Email Opened,0
Google,4829,2,Page Visited,0
Direct Traffic,1985,15,Form Submitted,0
Organic Search,3292,5,Page Visited,0
Google,3242,7,Page Visited,0
Referral,252,4,Form Submitted,0
Google,123,5,Page Visited,1
Google,1236,16,Form Submitted,1
Referral,623,15,Form Submitted,1
Referral,3156,16,Page Visited,0
Google,3136,4,Page Visited,1
Referral,3389,6,Other,1
Direct Traffic,3417,18,Email Opened,0
Referral,1655,3,Email Opened,0
Referral,1266,5,Form Submitted,0
Google,2945,2,Other,1
Direct Traffic,1160,16,Form Submitted,0
Social Media,2294,6,Other,1
Social Media,440,15,Form Submitted,0
Organic Search,2092,18,Email Opened,1
Referral,2705,6,Other,1
Referral,3759,13,Page Visited,1
Direct Traffic,553,13,Page Visited,0
Social Media,4904,1,Email Opened,0
Organic Search,1112,16,Other,1
Direct Traffic,2777,4,Page Visited,1
Referral,1833,17,Page Visited,0
Social Media,1314,18,Page Visited,1
Organic Search,3493,16,Email Opened,0
Google,3138,1,Form Submitted,0
Social Media,3112,6,Page Visited,0
Organic Search,98,11,Page Visited,1
Direct Traffic,3925,6,Form Submitted,0
Google,1479,17,Page Visited,1
Organic Search,4396,4,Other,0
Organic Search,1222,14,Page Visited,1
Referral,4583,14,Form Submitted,1
Social Media,1004,8,Email Opened,0
Referral,476,2,Email Opened,0
Google,1135,5,Other,0
Organic Search,2856,4,Page Visited,1
Referral,1705,10,Page Visited,0
Social Media,517,3,Form Submitted,0
Google,1220,16,Form Submitted,0
Direct Traffic,2506,10,Other,0
Referral,4325,15,Other,0
Google,1191,4,Page Visited,1
Direct Traffic,3880,1,Page Visited,0
Referral,3243,15,Other,0
Google,1977,10,Email Opened,1
Google,2242,18,Email Opened,0
Referral,3090,16,Email Opened,0
Google,1887,9,Email Opened,1
Organic Search,4559,19,Other,0
Referral,973,17,Form Submitted,0
Google,65,10,Email Opened,0
Direct Traffic,2906,19,Other,0
Direct Traffic,570,8,Email Opened,0
Organic Search,3892,19,Page Visited,1
Referral,307,5,Email Opened,0
Google,3408,2,Other,1
Google,3742,15,Page Visited,0
Direct Traffic,782,17,Page Visited,1
Organic Search,4216,10,Email Opened,1
Direct Traffic,765,2,Email Opened,1
Direct Traffic,3475,9,Page Visited,0
Organic Search,772,2,Form Submitted,0
Referral,3857,18,Other,0
Google,3185,12,Other,1
Referral,539,15,Other,1
Social Media,2049,6,Other,0
Social Media,3283,18,Other,1
Social Media,4675,13,Page Visited,1
Organic Search,1663,4,Other,0
Direct Traffic,1047,12,Form Submitted,0
Referral,3836,9,Form Submitted,1
Google,3439,2,Email Opened,0
Social Media,505,16,Email Opened,1
Referral,3247,1,Email Opened,1
Social Media,3500,4,Email Opened,0
Social Media,1910,15,Page Visited,0
Google,732,1,Form Submitted,0
Organic Search,3513,15,Page Visited,1
Direct Traffic,1571,3,Form Submitted,0
Organic Search,4609,13,Page Visited,0
Referral,2942,18,Form Submitted,1
Organic Search,4456,13,Email Opened,0
Referral,2321,10,Form Submitted,0
Referral,3335,7,Email Opened,0
Direct Traffic,4622,8,Form Submitted,0
Google,4374,1,Page Visited,0
Direct Traffic,2753,18,Other,0
Organic Search,1372,12,Form Submitted,1
Referral,1444,18,Page Visited,0
Social Media,3376,12,Other,0
Social Media,289,9,Page Visited,0
Referral,2065,2,Other,0
Direct Traffic,63,14,Email Opened,0
Google,3945,4,Form Submitted,0
Direct Traffic,329,15,Page Visited,1
Referral,4858,17,Form Submitted,0
Referral,1963,19,Email Opened,0
Google,3088,6,Email Opened,0
Organic Search,2490,9,Form Submitted,0
Organic Search,140,17,Page Visited,0
Google,4539,15,Page Visited,0
Organic Search,2473,5,Page Visited,0
Social Media,3903,18,Form Submitted,0
Organic Search,449,4,Page Visited,0
Organic Search,1825,2,Page Visited,0
Organic Search,4446,19,Other,0
Social Media,4694,5,Page Visited,0
Organic Search,4806,4,Email Opened,1
Social Media,869,5,Page Visited,1
Google,3564,19,Form Submitted,1
Direct Traffic,3659,13,Form Submitted,0
Google,3602,16,Page Visited,0
Direct Traffic,392,12,Form Submitted,0
Google,841,9,Form Submitted,1
Direct Traffic,2448,16,Page Visited,0
Direct Traffic,2791,14,Other,0
Referral,2953,1,Other,0
Direct Traffic,1358,4,Other,0
Direct Traffic,990,9,Other,0
Referral,1038,19,Email Opened,0
Organic Search,27,14,Page Visited,0
Organic Search,387,12,Form Submitted,1
Referral,832,4,Form Submitted,1
Social Media,249,7,Page Visited,0
Direct Traffic,2027,17,Form Submitted,0
Direct Traffic,1528,1,Email Opened,0
Referral,4193,14,Other,0
Referral,1838,15,Page Visited,0
Social Media,1360,12,Form Submitted,0
Organic Search,3109,12,Email Opened,1
Google,1323,6,Form Submitted,0
Organic Search,2226,13,Email Opened,0
Direct Traffic,3680,16,Form Submitted,0
Referral,891,14,Other,0
Social Media,1305,7,Page Visited,1
Organic Search,4548,16,Other,0
Social Media,4192,9,Other,0
Organic Search,261,14,Form Submitted,0
Direct Traffic,2340,7,Other,0
Google,1793,12,Page Visited,0
Social Media,2296,3,Email Opened,0
Social Media,2292,14,Email Opened,0
Google,2170,19,Form Submitted,0
Social Media,324,11,Page Visited,1
Social Media,985,5,Page Visited,0
Organic Search,4782,13,Email Opened,0
Organic Search,3852,10,Email Opened,1
Google,1739,7,Other,0
Direct Traffic,1860,17,Form Submitted,1
Social Media,3137,16,Email Opened,0
Direct Traffic,3898,8,Email Opened,1
Google,835,17,Page Visited,0
Google,4154,13,Page Visited,1
Organic Search,2778,11,Page Visited,0
Social Media,1396,18,Email Opened,0
Referral,1676,5,Form Submitted,0
Google,4331,6,Other,1
Social Media,4313,14,Form Submitted,0
Direct Traffic,1837,12,Email Opened,1
Organic Search,3721,4,Other,0
Direct Traffic,3672,7,Form Submitted,0
Google,3022,11,Email Opened,0
Google,4684,2,Form Submitted,0
Direct Traffic,1671,4,Email Opened,1
Google,916,7,Page Visited,0
Social Media,917,1,Form Submitted,1
Google,1133,15,Page Visited,0
Organic Search,1836,8,Page Visited,0
Social Media,2138,5,Other,1
Referral,4007,14,Other,0
Google,1905,18,Form Submitted,0
Google,3989,3,Email Opened,0
Organic Search,3485,2,Other,0
Organic Search,4797,16,Other,1
Direct Traffic,2120,14,Page Visited,1
Direct Traffic,2732,16,Page Visited,1
Direct Traffic,2769,11,Email Opened,1
Organic Search,1321,17,Other,0
Direct Traffic,3716,3,Other,0
Direct Traffic,3354,5,Email Opened,1
Referral,1528,3,Other,0
Direct Traffic,4743,15,Form Submitted,0
Google,759,5,Form Submitted,1
Organic Search,3412,3,Email Opened,0
Social Media,1357,6,Page Visited,0
Referral,2190,14,Email Opened,1
Organic Search,3481,2,Form Submitted,0
Organic Search,948,18,Other,1
Google,2079,6,Other,0
Direct Traffic,1766,5,Page Visited,0
Google,27,14,Page Visited,0
Direct Traffic,2470,17,Form Submitted,1
Direct Traffic,2538,11,Page Visited,0
Organic Search,159,1,Email Opened,0
Direct Traffic,2892,10,Form Submitted,0
Referral,4113,9,Other,0
Referral,3722,12,Other,0
Referral,3731,1,Other,0
Organic Search,2471,18,Page Visited,0
Google,4999,12,Form Submitted,0
Social Media,4850,2,Page Visited,0
Direct Traffic,1570,1,Email Opened,0
Social Media,836,1,Form Submitted,0
Google,4989,1,Page Visited,0
Google,3938,12,Other,0
Organic Search,2286,7,Other,1
Referral,3405,4,Email Opened,0
Referral,2670,4,Email Opened,0
Google,4112,15,Email Opened,0
Organic Search,4747,1,Other,1
Organic Search,4355,6,Page Visited,1
Direct Traffic,1627,14,Other,0
Referral,1866,14,Other,1
Google,204,10,Other,0
Social Media,3579,7,Page Visited,0
Referral,3174,12,Other,0
Direct Traffic,791,19,Email Opened,0
Organic Search,4092,9,Email Opened,0
Google,3747,3,Email Opened,0
Referral,1105,4,Email Opened,0
Social Media,1090,13,Other,1
Direct Traffic,1607,10,Other,0
Direct Traffic,1839,14,Other,0
Referral,3397,6,Email Opened,0
Social Media,66,8,Page Visited,0
Direct Traffic,4779,19,Form Submitted,0
Google,1278,10,Form Submitted,0
Direct Traffic,4158,5,Form Submitted,0
Social Media,813,5,Page Visited,0
Organic Search,402,5,Other,1
Organic Search,2002,9,Form Submitted,0
Referral,4166,9,Form Submitted,0
Social Media,2925,15,Other,0
Direct Traffic,2993,9,Form Submitted,1
Direct Traffic,1086,14,Other,0
Organic Search,4340,6,Form Submitted,0
Organic Search,2566,8,Other,0
Google,4488,2,Email Opened,0
Organic Search,771,5,Page Visited,0
Google,3672,17,Form Submitted,0
Direct Traffic,3248,10,Other,0
Google,1669,14,Email Opened,0
Google,1556,18,Other,0
Referral,2958,1,Form Submitted,1
Organic Search,1151,2,Form Submitted,0
Google,1217,4,Form Submitted,1
Direct Traffic,2231,13,Form Submitted,0
Social Media,4342,16,Form Submitted,0
Google,3944,5,Email Opened,0
Organic Search,2042,10,Other,0
Referral,705,17,Other,0
Direct Traffic,2669,11,Form Submitted,1
Referral,2113,5,Other,0
Social Media,2977,15,Email Opened,1
Google,4349,4,Form Submitted,0
Google,4378,7,Page Visited,0
Organic Search,422,10,Email Opened,1
Google,2021,4,Form Submitted,0
Direct Traffic,3793,5,Other,0
Social Media,4131,5,Email Opened,0
Referral,530,11,Form Submitted,0
Social Media,90,19,Other,1
Google,3372,5,Other,0
Referral,1942,8,Form Submitted,0
Organic Search,3805,7,Email Opened,1
Social Media,1240,8,Form Submitted,1
Referral,1758,13,Form Submitted,0
Referral,97,5,Form Submitted,0
Referral,1479,18,Form Submitted,0
Direct Traffic,4626,9,Form Submitted,0
Social Media,1832,2,Other,0
Referral,2585,16,Form Submitted,0
Social Media,3647,14,Email Opened,0
Referral,79,17,Page Visited,0
Organic Search,4709,6,Form Submitted,0
Organic Search,2223,3,Email Opened,0
Organic Search,2569,17,Page Visited,0
Google,1772,13,Email Opened,0
Referral,4518,6,Other,0
Google,1123,8,Other,0
Social Media,3811,6,Page Visited,0
Google,3474,16,Page Visited,0
Social Media,2623,6,Page Visited,0
Social Media,1403,17,Other,1
Social Media,2578,3,Other,1
Google,331,12,Email Opened,0
Referral,4748,6,Other,0
Google,3608,7,Page Visited,1
Referral,739,11,Form Submitted,1
Referral,4606,9,Form Submitted,1
Social Media,41,16,Page Visited,0
Google,4980,5,Other,1
Referral,3878,15,Page Visited,0
Organic Search,1949,4,Other,0
Referral,3460,5,Form Submitted,0
Organic Search,2128,7,Email Opened,0
Google,4497,3,Other,0
Google,2154,4,Email Opened,0
Google,1237,15,Form Submitted,1
Referral,1766,2,Email Opened,0
Direct Traffic,1841,5,Email Opened,1
Referral,505,7,Page Visited,0
Referral,1841,17,Email Opened,0
Social Media,4815,8,Form Submitted,0
Social Media,1394,9,Other,0
Referral,256,10,Email Opened,1
Organic Search,1720,11,Other,0
Social Media,1071,1,Page Visited,0
Referral,1622,15,Form Submitted,1
Direct Traffic,4992,8,Form Submitted,0
Organic Search,2066,19,Other,0
Google,1069,12,Form Submitted,0
Referral,450,6,Page Visited,0
Referral,897,10,Other,0
Organic Search,4836,5,Form Submitted,0
Social Media,3728,7,Page Visited,0
Social Media,81,7,Page Visited,0
Social Media,736,9,Email Opened,1
Google,4174,15,Form Submitted,1
Organic Search,3944,6,Other,0
Organic Search,2207,16,Email Opened,0
Social Media,3948,7,Other,0
Social Media,2002,15,Email Opened,0
Direct Traffic,1691,2,Page Visited,0
Direct Traffic,1179,8,Email Opened,1
Referral,2935,12,Email Opened,1
Referral,2515,11,Email Opened,0
Organic Search,4948,6,Form Submitted,0
Organic Search,461,13,Email Opened,0
Google,2901,16,Page Visited,1
Google,116,8,Other,1
Direct Traffic,1654,17,Form Submitted,0
Referral,4561,13,Page Visited,0
Direct Traffic,1798,4,Form Submitted,0
Direct Traffic,659,10,Other,0
Referral,3237,16,Other,0
Google,2122,17,Other,0
Referral,3819,8,Form Submitted,0
Social Media,3343,11,Form Submitted,0
Social Media,2550,5,Other,0
Social Media,4890,16,Other,0
Organic Search,1586,8,Page Visited,0
Google,4682,16,Other,0
Google,2747,4,Email Opened,1
Organic Search,634,6,Form Submitted,0
Direct Traffic,2882,8,Page Visited,0
Social Media,2811,9,Form Submitted,0
Social Media,4453,13,Other,0
Direct Traffic,4015,17,Email Opened,0
Referral,2739,9,Other,0
Referral,1884,13,Form Submitted,1
Google,1518,9,Page Visited,0
Organic Search,621,6,Form Submitted,1
Google,4577,10,Page Visited,0
Referral,1537,5,Email Opened,0
Direct Traffic,2337,7,Other,0
Google,1994,11,Other,1
Social Media,2070,9,Email Opened,1
Social Media,4901,10,Form Submitted,1
Direct Traffic,4930,11,Email Opened,0
Referral,2365,3,Other,0
Social Media,2845,8,Page Visited,0
Social Media,3038,17,Other,0
Organic Search,854,7,Form Submitted,0
Google,2728,12,Page Visited,0
Referral,915,16,Form Submitted,0
Google,4938,15,Other,0
Referral,131,13,Other,0
Social Media,1116,18,Page Visited,1
Organic Search,3593,18,Form Submitted,0
Google,860,5,Page Visited,0
Social Media,293,14,Page Visited,0
Referral,2688,11,Form Submitted,0
Google,999,3,Page Visited,0
Google,2296,17,Email Opened,1
Social Media,3685,12,Page Visited,0
Google,286,3,Other,0
Organic Search,449,2,Form Submitted,0
Organic Search,2338,4,Other,0
Social Media,3240,18,Email Opened,0
Referral,2703,14,Email Opened,0
Social Media,3116,8,Page Visited,0
Organic Search,4571,2,Other,1
Direct Traffic,252,19,Page Visited,0
Direct Traffic,1419,10,Page Visited,0
Google,2336,5,Other,0
Google,1235,11,Email Opened,0
Direct Traffic,999,9,Email Opened,0
Organic Search,3760,16,Email Opened,1
Google,4116,5,Form Submitted,1
Social Media,4411,15,Form Submitted,0
Social Media,2611,14,Page Visited,0
Organic Search,1446,9,Form Submitted,1
Google,2170,5,Form Submitted,1
Social Media,2921,15,Other,0
Google,3683,9,Page Visited,0
Google,2261,4,Page Visited,1
Social Media,1945,4,Other,0
Direct Traffic,4934,7,Email Opened,0
Social Media,1853,15,Other,0
Organic Search,599,17,Email Opened,1
Referral,4887,18,Page Visited,0
Social Media,4135,7,Page Visited,0
Google,3403,19,Form Submitted,0
Google,2990,10,Form Submitted,1
Social Media,4743,13,Other,0
Referral,4277,2,Form Submitted,1
Social Media,4360,11,Page Visited,1
Referral,2818,5,Page Visited,0
Referral,862,6,Email Opened,0
Organic Search,4527,3,Form Submitted,0
Google,4055,1,Email Opened,1
Google,1219,3,Page Visited,0
Referral,3795,3,Form Submitted,0
Google,4604,4,Email Opened,0
Direct Traffic,4542,7,Page Visited,0
Referral,527,15,Email Opened,0
Google,2922,11,Form Submitted,0
Direct Traffic,3204,18,Email Opened,0
Organic Search,1162,12,Email Opened,1
Google,4764,4,Page Visited,0
Direct Traffic,3564,11,Form Submitted,0
Social Media,846,6,Other,1
Social Media,2117,19,Other,0
Direct Traffic,3086,18,Email Opened,0
Referral,1770,15,Page Visited,1
Referral,3283,3,Form Submitted,1
Google,1825,17,Page Visited,0
Social Media,3323,1,Form Submitted,1
Referral,445,2,Page Visited,0
Referral,1025,19,Other,0
Social Media,1771,9,Other,1
Organic Search,1359,8,Other,0
Referral,18,12,Page Visited,0
Direct Traffic,560,15,Page Visited,0
Google,471,7,Email Opened,0
Referral,27,16,Other,0
Referral,559,7,Email Opened,0
Organic Search,2655,12,Page Visited,0
Direct Traffic,3236,17,Form Submitted,0
Google,4553,11,Other,0
Referral,944,4,Other,0
Google,3948,19,Other,0
Social Media,3656,2,Other,1
Referral,4963,2,Other,0
Referral,3063,17,Page Visited,0
Social Media,1979,9,Other,0
